2021-05-21 22:28:31,489 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:28:31,490 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:28:31,491 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:28:31,706 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:28:41,477 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:28:41,483 - DEBUG -  messenger.client - Log: make_presence_message(('test2', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625321.4828446, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}} 
2021-05-21 22:28:41,486 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55721), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625321.4828446, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:28:41,487 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:28:41,487 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:28:41,488 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:28:41,489 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:28:41,704 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:28:46,833 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625326.8336709, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:28:46,847 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:28:52,212 - DEBUG -  messenger.client - Log: attach_to_group_message(('test1',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625332.2121036, 'group': "'ded'", 'from': 'test1'} 
2021-05-21 22:28:52,372 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:29:03,367 - DEBUG -  messenger.client - Log: make_msg_message(('test1', "'hello'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621625343.3676775, 'to': '#', 'group': "'ded'", 'from': 'test1', 'encoding': 'utf-8', 'message': "'hello'"} 
